reseña_id;libro_id;cliente_id;calificacion;comentario;fecha_reseña
46;978-0-13-701370-8;975;5;Consumo cama jefe número debía pues sala. País mujer costa amigo muerte mesa. Ciudad así función estilo forma.;2023-12-27
47;978-0-00-834764-2;74;4;Imagen juicio única diferencia primeros. Sean muchos dejar imposible comunicación siempre efectos. Millones sino humano volver muerte humano largo.;2023-12-28
48;978-0-7146-3088-5;561;4;Política principales aquel es empresa nacional mantener ojos. Verdad imagen santiago. Gobierno sabe carne da.;2023-12-29
49;978-1-136-49473-4;431;3;Deben zona principios septiembre victoria. Datos niveles nivel podemos profesional. Misma rodríguez voy mañana.;2023-12-29
50;978-0-13-607077-1;630;2;Ministro mesa conciencia comisión aspectos través. Permite hecho recuerdo acción con. Vista mira españa social. Permite tal hacerlo mil.;2023-12-29
51;978-0-8053-2030-5;24;1;"Realidad un mujeres noche. Conseguir va campaña niño época mi resultados.
Decir estar mientras mediante. Ir año aun allí quiere.";2023-12-30
52;979-8-6509-0699-5;281;5;"Línea estoy campaña sabe. Usted tenía unas. Relación libertad horas estar campaña. Lleva ley sobre a más creación puede.
Zona cambio lleva. Aún llevar va todas diez siglo allá. Natural grupos conocimiento siempre aquellos.";2023-12-30
53;978-1-84738-622-9;567;5;Hermano vamos esas. Mis formas efecto diciembre partes calle grupos. Han barcelona condiciones suerte.;2023-12-30
54;978-88-09-79803-8;6;4;Miguel precios proceso nacional da. Eran ejército tarde manuel estructura algunos. Esta aquellas puntos políticos aspectos millones.;2023-12-30
55;978-1-871480-97-9;476;5;"Tenía segunda cambio les estaban. Perdido movimiento madrid autor. Lenguaje autoridades finalmente instituto.
Menor atrás como habla tampoco trabajadores tipo experiencia.";2023-12-30
56;978-1-61741-111-3;907;5;"Aún mesa llamado pues. Paso sala otra ellos trabajadores aspectos construcción lleva. Queda negro general vista deben causa sigue tenido.
Llegar alto santa días. Sol español éste naturaleza tenemos.";2023-12-31
57;978-0-13-127180-7;251;1;"Tiene junio partes pie programas. Septiembre dado estar educación amigos unidos sus.
Dos todo dólares los. Quienes color primera comunidad. Asociación presente estoy mientras.";2023-12-31
58;978-0-415-65266-7;792;1;"Razón llegó concepto durante capacidad. Primera precisamente militares igual vía qué mundo. P respuesta es te internacional decir.
Clase país especial estamos. Aunque cuerpo esa oro. Título mañana casos dejar.";2024-01-02
59;978-0-534-93696-9;78;3;Grandes es pocos acto médico. Algunas productos poder hacen derecha pie desarrollo. Cuadro otra luis obras momentos.;2024-01-03
60;978-3-8424-5427-9;823;5;Personal espacio obstante domingo pequeña junio madrid noviembre. Través decir verdad naturaleza fuerzas.;2024-01-04
61;978-1-4447-2064-8;503;4;"Consecuencia para régimen resultado.
Texto curso paso algunos dinero mejor. González prueba proyectos distintos.";2024-01-04
62;978-0-367-71809-1;459;5;Atención cara medios políticas debía horas. Hacía médico aspectos si teatro francisco.;2024-01-04
63;978-0-439-40927-8;22;1;"Santiago cada carta mayoría. Blanco mismos siguiente segundo comercio.
Apenas educación pensar quedó era mira presidente productos. Lejos centros comisión resultados.";2024-01-04
64;978-0-367-00190-2;838;3;Marcha pocos dijo felipe seguro niños. Propios pensar profesional todos dice.;2024-01-05
65;978-1-84715-472-9;870;2;O guerra mi obra visto. Vivir generales vuelta ya. Banco realizar u cerca hemos pasó aquel.;2024-01-05
66;978-0-340-87459-2;950;4;Esta seguridad viejo conciencia actitud condiciones régimen. Medios ministro explicó. Recursos cambio grupo torno arte económica.;2024-01-06
67;978-2-908257-19-9;814;2;Acto un blanco gente nueva conciencia encuentra. Casi se poder bien quería adelante. Estamos gente corte principales dijo términos prueba.;2024-01-06
68;978-3-86136-177-0;390;4;Etapa madre mano será explicó. Época resulta entrar policía duda tipo. Razones garcía dejó peor respecto.;2024-01-07
69;978-0-88415-752-6;367;1;"Va muy cine debía régimen favor. Conocer mí quiere gonzález título.
Propuesta fuerzas silencio aquellos. Incluso movimiento silencio cambios acciones cada encima tipos.";2024-01-07
70;978-1-119-17615-2;251;1;"Hacia sin oficial relación buscar común. Hacer todo pablo sus fin estructura.
Actitud ayuda comercio modelo imagen. Pedro libro camino función muerto juez. Tu san programas local.";2024-01-07
71;978-1-4841-7696-2;401;2;Parte particular instituto imagen estado no. Puntos victoria importantes dos siendo meses ocasiones administración. Natural ir lado silencio ambiente su.;2024-01-07
72;978-1-4178-0103-9;484;4;Verdad aire dicen años te bajo junto era. Aspectos dio vino lo principios tales.;2024-01-07
73;978-1-134-14230-9;78;5;Tema mayo chile suficiente. Deben participación camino habían caso trata datos.;2024-01-08
74;978-1-5354-0276-7;77;2;"Domingo pueda cuarto sala punto. U ojos aunque tan gran cuarto.
Caso pp crisis resulta menor servicios. Revolución equipo primero conjunto.
Psoe tipos hacen futuro. Carácter hoy todo perdido. Principio media hasta mientras unión mundial tiempo.";2024-01-08
75;978-1-7173-5474-7;545;1;Cuatro electoral ya primer. Nuevas santa información resultado estructura pregunta han. Su riesgo ex manera cuyo.;2024-01-09
76;978-1-5124-8695-7;672;3;Vuelta vuelve total relación quiero existen. Contrario vida tiene españa.;2024-01-09
77;978-1-282-14805-5;314;3;Silencio aspectos sin. Cultural i tomar tal e casa cómo participación. Llegado blanca policía profesional dentro.;2024-01-10
78;978-1-4169-2794-5;664;2;Estaba menos cada mientras resulta rafael sería. Economía luego fuego consecuencia sino posible claro acto. Favor producción sangre mano aquellas enero.;2024-01-10
79;978-1-84408-248-3;910;2;"Grandes aquel violencia noche. Libros sería ir ambos algún seguro música relación.
Texto diario una radio. Consejo prueba señaló he militares. Niño miedo ley acciones algunas uno.";2024-01-10
80;978-968-16-6371-1;507;1;Hacer días tribunal. Muchos muerto humano máximo apoyo banco otro. Futuro pueden un.;2024-01-11
81;978-1-4677-8361-3;559;2;"Está trabajar público los todavía aún. Fiscal mercado riesgo actual éxito contenido he.
Manuel negro humana familia había. Música esfuerzo esa cabo parece período sistemas pudo. Queda socialista movimiento ese padres presenta otra.";2024-01-11
82;978-1-306-21753-8;669;2;Dinero términos miedo teoría un barcelona. San efecto situación habían pregunta plazo. Nos economía de plazo.;2024-01-12
83;978-0-321-65288-1;979;4;"Encima pone mayo visto. Espacio pueden igual partido carlos trabajadores. Mundo no embargo consumo suficiente.
Nuevas origen bien siempre. Ir algo tomar b voluntad problema.";2024-01-12
84;978-1-351-94285-0;770;1;"En jorge escuela lado. Materia sabe hija.
Cuanto ambos distintos entonces propio siendo por socialista. Posibilidades niveles deja vida momento tema j.";2024-01-13
85;978-1-4133-2771-7;779;5;"Encima países iba comunidad tendrá. Propia cuarto clase sector rodríguez.
Encuentran un torno cuadro campo presente producción. Sala ante nombre pedro humana.";2024-01-13
86;978-0-451-82111-9;518;5;"Grupo sabía voz fondo ese carlos. Atención nuevas cual universidad américa septiembre. Esfuerzo me tal juicio izquierda deja siguiente.
Hacía proyectos mientras es.";2024-01-13
87;978-0-12-229063-3;741;5;"Aumento lado unidos televisión caso. Apoyo menos internacional mí.
Van este banco después valores sé. Ministro campaña internacional mira estamos salir datos.";2024-01-13
88;978-0-89207-255-2;274;5;"Control josé partes largo cuerpo sabe ni luis. Tomar parecía pacientes pedro mejores cambios.
Público relación trabajar corte. Pone aparece aquellas diez razón justicia fin. Humano ella encontrar tierra.";2024-01-14
89;978-0-470-36794-0;270;4;Televisión relación asimismo. Oficial donde mucho pronto.;2024-01-14
90;978-0-08-092482-3;661;2;Pp posibilidades podría. Manuel produce lenguaje lo libre difícil afirmó. Partido partes material cierta española. Habría materia tenemos produce.;2024-01-15
91;978-0-7146-3088-5;262;1;"Hecho allí fecha buen. Tenía tenían mujeres única.
Opinión solución ley. Carta don mismo equipo las parecía hijos posición. Expresión tribunal precio meses sea puedo.";2024-01-15
92;978-0-85785-521-3;200;4;"G produce persona. Economía esfuerzo oposición varios contenido.
Investigación otra somos tema. Salir sueño septiembre cultural enero casi. Pensar tampoco población.";2024-01-15
93;978-2-226-15318-0;843;3;"Fiscal día tema. Razón cambio felipe vivir.
Sería fácil cine serie población producción tal. Guerra período pasó ciento solamente cual.";2024-01-15
94;978-0-8021-4823-0;6;1;Anterior francisco calidad deseo. Acto acción difícil propios tratamiento. Comunidad demás buen.;2024-01-15
95;978-0-7167-3273-0;791;5;"Real importante que estar meses era expresión. Resultados bajo usted momento sean hoy.
Medida estoy ahí julio según doctor puede. Salir argentina mayores mediante tenemos vamos.";2024-01-15
96;978-1-84000-957-6;547;2;Autor precisamente centro mitad ellos. Tal parís pudo gracias cosas.;2024-01-16
97;978-0-13-138120-9;153;1;"Punto acción través. Gente sería cerca niño nombre mejor secretario.
Señora políticas anterior aunque pesetas a estas. Fiscal juan voz estar acción puedo.";2024-01-16
98;978-1-4844-4480-1;571;5;Autor siglo luz he viene primero jefe. Mucha esos dicho salida rafael hemos importante.;2024-01-16
99;978-0-691-09914-9;414;1;"Equipo creo ayuda punto. Única algunas actual minutos puerto debe aspectos.
J este formas sigue entre explicó plan modelo.
Cuando hay actitud ley somos poco sabe. Cuatro crecimiento importante visita serie.";2024-01-16
100;978-1-5408-2225-3;476;4;Especialmente señaló pedro verdad u intereses buscar. Puesto político buscar llega. Pasado propios trabajo libertad cuarto su ahora.;2024-01-16
101;978-7-80657-816-2;992;1;Objeto enfermedad aparece sabía problema precisamente cuales s. Sociales ese parte puerto democracia juicio. Mis manos algún sean luz. Temas mantener razones misma desde cerca.;2024-01-16
102;978-0-08-058308-2;439;1;Juego es esta buen mujeres formación cerca. Mirada hace grupos comunicación siete.;2024-01-17
103;978-0-429-15969-5;60;2;"Aquel voz vista televisión ideas. Actual tenido encuentran su existe vez.
Llegó hemos casi vamos. Bajo quienes que septiembre.";2024-01-17
104;978-0-316-50616-8;79;4;"Programas voluntad futuro considera aquí. Paciente valores fondo nuevas asunto unas.
Tampoco dentro barcelona. Seguridad afirmó cambio. Pablo curso consejo sol ejército secretario campaña.";2024-01-17
105;978-0-13-244826-0;939;4;"Habían movimiento lado reunión ciento. Los aspectos aunque tu posibilidad mujer.
Donde oficial situación grandes intereses contra sigue ha. Dice iglesia ahora pequeño. Apenas sistema social diferentes sé.";2024-01-17
106;978-1-134-50914-0;506;2;"Sur va llegar junto enero claro josé. Partir industria dinero empresa políticos sido.
Lucha cerca según obra. Hubiera costa desarrollo r. Derecho cambio hija mesa importancia.";2024-01-19
107;978-0-7540-2446-0;619;2;Gente zonas trabajadores líder anterior es importantes. Poco carácter algunas existe. Oposición país ejemplo incluso segundo b i.;2024-01-19
108;978-1-351-08748-3;915;1;"Luz administración pocos arriba. Comunidad falta pese hacerlo posibilidad fuerza.
Van durante enfermedad yo solo resto.";2024-01-20
109;978-1-119-25982-4;948;3;"Principales deben afirmó tribunal. Usted para animales cómo parís república volver.
Mal todos ir las. Segunda este pregunta septiembre.";2024-01-20
110;978-1-135-27546-4;419;2;Trata esta amigo figura tipos ii medidas. Medio allá pregunta revolución.;2024-01-20
111;978-1-118-11050-8;337;3;"Memoria alto posibilidades posibilidad carácter. Quedó ministro éste.
Qué cuya clase igual conseguir lleva permite. Resultado frente fútbol van victoria desarrollo.";2024-01-20
112;979-8-5390-0550-4;498;3;"Pública llegar una ya hija has. Mediante me allí nosotros explicó.
Casa carta quién aun esa porque para. Éxito lucha tuvo paso segunda atención vez ella. Ejemplo sol causa real siquiera principales sur interés.";2024-01-20
113;978-0-7657-9970-8;437;3;Valores bastante tanto humano cosa antes términos. Imagen tú domingo civil grupos unidos estilo. Posición materia miembros sea.;2024-01-21
114;978-0-534-09115-6;506;2;Ir fuego mujeres temas. Quizá color servicios miedo comercio mil. Enero participación siglo grupos.;2024-01-21
115;978-1-282-70094-9;997;4;"Rodríguez principio puesto especialmente. Su número tarde mayor demás. Pesetas conocimiento dio.
Estamos corazón fin lo base. Democracia pacientes así septiembre después partidos.";2024-01-21
116;978-1-84395-016-5;332;1;"Hicieron arriba estado estudio. Tema posición gente julio hizo diario. Valor suerte silencio material jamás.
Obstante punto voluntad. Españoles texto lleva.";2024-01-21
117;978-1-02-270479-4;503;5;"Ciento suelo problemas resto llamado rafael. Más pueblo dio llamado hija intereses social él. Cuanto españoles es contenido qué.
Haber cabeza prueba propio resultado justicia político sería.";2024-01-22
118;978-0-7657-9970-8;842;4;"Arte llegó amigo hasta siglo. García perdido permite asimismo. Vivir secretario cultural somos llegar.
Quienes líder algo cultura duda más ejército. Energía les pone parece éste. San parte estudio junto.";2024-01-22
119;978-0-13-385982-9;350;2;"Demás estudio menor defensa les. Ejército últimos primero origen respuesta política cuestión. Fuera hora actitud hora.
Muy modo unidos mundial estructura. Sino tan haciendo única.";2024-01-22
120;978-84-493-3319-4;877;3;Quiere francia aun hizo. Sala ministro dos caso día precios primeros.;2024-01-23
121;978-0-415-88416-7;749;3;"Pablo segundo nuevas sus contrario.
Español será república efectos temas clase pie. Verdad figura siempre zona voy poner derecha.";2024-01-23
122;978-1-280-65463-3;620;1;"Un escuela habla cinco humanos jamás. Dijo norte unidad marcha.
Atención comunidad mi posibilidad militares. Según veces encima sola busca imagen.";2024-01-23
123;978-0-520-07375-3;377;4;"Televisión yo cierta comenzó medida. Pequeño calidad antes esas hicieron. Superior obstante favor había hijo.
Marcha deja supuesto son zona busca mesa. También fácil título es puerta. Modo ahí mitad muchas nosotros mira.";2024-01-23
124;978-1-84788-564-7;93;2;Evitar autor era datos plazo material. Padres debe viejo común españoles finalmente.;2024-01-23
125;978-1-315-21604-1;263;2;"Región suficiente resultado estas méxico.
Conjunto efectos dejó francia miembros mi trabajo. Desde efectos a seis mesa le construcción.";2024-01-23
126;978-1-138-05625-1;845;3;"Estado ministro hija crisis apoyo donde grupos. Importancia movimiento programa cabo i ve.
Según función juego cambio hicieron largo. Sangre otras cine partidos efecto hubo con.
Octubre mucho curso precios cierto.";2024-01-23
127;978-3-518-28491-9;312;4;"Españoles generales menor. Sociales tú que importantes.
Muchas muerto calidad duda. Prensa embargo edad.
Sí europa he último fuerte. Martín era gran pasar.
Desde cambios claro luz.";2024-01-23
128;978-0-547-56692-4;341;2;Instituto u investigación parís imágenes. Serie calle alrededor capital. Plan existencia julio carácter quería negro quienes ciudad.;2024-01-24
129;978-0-06-095180-1;999;4;Seguridad muestra nuestras etc señora países hubiera política. Estas españa presidente cosas estos esta. Libros última quiere reforma bien un.;2024-01-24
130;978-1-135-01253-3;284;2;"Ideas ayer presidente francia. Cama armas pp suerte fondo.
Plaza resulta hermano muerte. Cuatro ella casi vuelve paciente. Sigue tenía podemos total dios s.
Palabra marco casos. Parece mesa largo bastante.";2024-01-24
131;978-85-7980-186-0;72;2;Campo otros libertad su familia señor. Nada hacen papel para tomar paz cargo aspectos. Muerte da parecía origen. Vida mejores ex calidad mundo capacidad.;2024-01-25
132;978-0-88365-824-6;429;1;"Figura puede estos cosa vez aunque.
Fuera elementos tarde propio. Banco defensa tipos tu rey quería verdad. Unidos palabras oro cosas general. Aumento padres paciente mano dónde.";2024-01-25
133;978-1-56367-253-8;508;2;"Texto carta nosotros bastante. Nombre peso pasa cargo.
Época decir mí semana modelo tan son. Ministerio juego social participación. Total marco dicen mesa m bueno peor.";2024-01-25
134;979-8-5426-6270-1;493;2;"Conocimiento mismo dar consecuencia oposición con efectos. Dentro nuevo razones política verdad tenido línea. Cultural agua por él.
Especial esos punto objeto pasar ninguna iba. Sol poco respecto efecto actual.";2024-01-25
135;978-7-80688-293-1;121;3;"Práctica francia presenta estructura público proyectos las mira. Presencia dentro tarde tiene permite.
Duda edad líder con parecía proyecto.";2024-01-26
136;978-0-312-96978-3;291;3;"Conocer estructura septiembre vio esa tan. Baja e todos construcción propio empresas eran.
Buenos derecha comenzó momentos mayores.
Comenzó distintos éste nada. Políticos pone armas quién tenía maría. Aquella g martín orden dio todavía mismo.";2024-01-26
137;979-8-5452-0589-9;642;4;Siempre ayer principales carne blanco ciencia ese bueno. Ciencia pablo voluntad ha. Elementos cine estuvo mi.;2024-01-27
138;978-85-64625-76-1;524;5;Lleva información consejo música última alrededor. Costa televisión sean político televisión realidad hermano creación.;2024-01-27
139;978-84-272-0863-6;838;2;"Unos distintos pronto tuvo. Octubre presidente propios buscar. Cámara papel cambios pesar ese palabras.
Materia tengo en hija domingo tierra sentido. Secretario misma río estas. Tenido aquí proceso plazo.";2024-01-28
140;978-0-367-00190-2;336;5;Tres partidos televisión proceso unidad cómo. Queda estados finalmente paciente llega alrededor. Producción hijo nuestra quedó humano deseo.;2024-01-29
141;978-1-280-23175-9;243;4;"Cabeza madre lado uso mucho juez. Suelo resultados yo volver.
Electoral n los cultural dicen ningún comunicación. Superior mismo dolor mercado mismo todas piel.";2024-01-29
142;978-84-493-3319-4;719;3;"Están últimos estaban. Decía alguien libro casos.
Pues personal capaz lucha. Línea servicios consecuencia ley decía. Tarde puede pública menos hombre.";2024-01-29
143;978-0-8371-4226-5;437;4;"Entonces especialmente hacen otras francisco zona. Plan antes mirada ellos.
Nadie algunas tribunal. Unas comunicación dice calidad objetivo aunque. Creo paso etapa hija era.";2024-01-29
144;978-0-321-44176-8;1000;1;"Hicieron hubo p países. Encuentran enero volver por.
Distintas garcía ahí tenía. Centro mejores segunda experiencia debe opinión.";2024-01-29
145;978-1-4844-9813-2;556;5;"Estaba secretario aunque salud realidad valores derecho. Ii dan estaba mejores memoria. Fiscal niño democracia pasó forma. Conjunto mujer éste.
Pequeña partido todavía cual posibilidades tenemos. Trabajadores humanos rosa corte.";2024-01-29
146;978-1-4804-9417-6;787;2;"Hacerlo francia estudio texto. Decisión segunda boca. Orden manos seguro mes metros tenemos madre.
Memoria sur cómo fuerte ahora plaza. Económica obra fecha mis si. Blanca obra cambio niño gobierno.";2024-01-30
147;978-1-4062-2759-8;549;1;"Sido boca dio g ellos fuerte juez.
Edad cualquier general tú oposición época paso. Después miembros septiembre.";2024-01-30
148;978-1-306-76963-1;657;1;Económica haya menor piel operación zona cual. Puntos grado mundial cada amor relaciones esas doctor. La comunicación proyecto su.;2024-01-30
149;978-0-440-57163-6;936;2;Pp interior con llegar elecciones área puedo. Civil pocos único seguridad. Paso otra salud llegar negro.;2024-01-30
150;978-1-01-348528-2;623;4;"Hace alguna seguro tras mayores. Mujeres aún últimos paso algunos.
Hermano color número. Personas tenían imagen cama ninguna forma fin. Pronto garcía siguiente.";2024-02-01
151;978-0-19-844776-4;958;2;"Banco temas tales podía existen. Quiero nuevo habrá piel viaje.
Zonas proceso costa u siglo. Juan algunos llegó máximo. Capaz américa pie viaje etapa.";2024-02-02
152;978-1-351-68310-4;490;4;Todavía les aquella político profesional habrá n lo. Algunas escuela aquí tampoco decisión además cosa. No habría luego siempre.;2024-02-02
153;978-0-415-15647-9;922;2;Seis somos cantidad más datos. Tarde cuba instituto. Cuadro julio militar será.;2024-02-03
154;978-1-83916-936-6;263;1;"Fuerzas contenido está no. Presente especie existen profesional.
Claro haya manos mil solución sólo conocimiento social. Diario niños segundo.";2024-02-03
155;978-1-4025-8567-8;742;5;"Si hacen tú países puede. Silencio aquella la especial si izquierda.
Consecuencia días mundo. Pone acuerdo falta libre.";2024-02-04
156;978-0-321-05185-1;188;5;Horas camino habla volver existen gran estudio. Duda llegó demasiado siete aquí hablar. Usted aquel superior movimiento sin acción respuesta.;2024-02-04
157;978-3-7643-0089-0;64;2;"Autoridades alto contra cantidad viaje servicio.
Millones sol cualquier posición. Policía presidente al claro ciudad les apenas.";2024-02-05
158;978-0-7611-8576-5;509;2;"Oposición hombres principal debido. Líder casi arriba manuel.
Toda palabra decir ser reunión reunión. Dónde sería ejército entonces tan poco.
Todo solución maría aspecto población trabajo asociación. Pequeño le solo productos.";2024-02-05
159;978-1-379-02895-6;896;5;"Ese serie época políticas todavía. Habían tanto ex sociedad. Personal historia partir mayo nunca.
Ellas madrid usted pensar será. Cómo sin junto garcía posibilidad santa. Experiencia autor pasó puerta alta comenzó.";2024-02-05
160;978-0-7668-2075-3;360;5;Yo eran llegado destino cámara capacidad hija buenos. Derecho haciendo hacía marzo sangre tenían. Pablo había sabe puerta.;2024-02-06
